familia,A,a,b,N,r2
PF00327,1.164162,0.427231,0.417254,2427,0.981732
PF00349,1.800565,0.738943,0.591084,1721,0.959665
PF00350,1.488235,0.613192,0.483890,379,0.984795
PF00364,1.199757,0.506185,0.512522,120,0.974393
PF00368,2.168164,0.876757,0.600499,1527,0.939272
PF00370,2.818839,1.182768,0.073134,45,0.981943
PF00382,2.276255,1.252373,0.200532,17,0.920791
PF00385,0.879621,0.524418,0.640340,330,0.982365
PF00397,0.669865,0.348124,0.537019,757,0.988921
PF00399,1.082990,0.506387,0.424349,63,0.966230
PF00400,2.357382,0.793294,0.383308,1295,0.959555
PF00408,1.244553,0.535858,0.543627,163,0.968912
PF00428,0.090447,0.100313,0.799630,196,0.966070
PF00432,0.973376,0.680078,0.823823,73,0.931221
PF00439,1.282341,0.701087,0.621564,307,0.989040
PF00443,2.084343,0.721684,0.412401,571,0.964836
PF00444,1.327919,0.484249,0.408609,410,0.988650
PF00454,2.335374,0.977654,0.464291,153,0.936664
PF00459,2.025632,0.830375,0.498679,250,0.971601
PF00478,2.438650,0.671927,0.340813,7245,0.969983
PF00481,2.133871,0.790850,0.362595,187,0.940927
PF00501,2.625228,0.854076,0.389390,1109,0.933361
PF00505,0.708758,0.331091,0.556035,111,0.961848
PF00510,1.549950,1.248728,1.219602,16,0.835784
PF00514,1.411287,0.658341,0.575866,303,0.967968
PF00515,2.254276,1.011692,0.509422,387,0.980221
PF00533,1.594667,0.722254,0.544380,199,0.974034
PF00534,1.850696,0.940405,0.675303,111,0.937197
PF00561,2.580343,1.104720,0.459827,131,0.942154
PF00566,2.012655,1.035749,0.712008,182,0.925056
PF00571,1.589217,0.574658,0.435919,1879,0.975345
PF00578,1.637631,0.713803,0.557218,307,0.966617
PF00581,1.606253,0.690503,0.544294,400,0.970450
PF00583,1.686638,0.844817,0.693006,475,0.950348
PF00587,1.877940,0.941617,0.454897,41,0.971734
PF00610,1.466802,0.786840,0.716215,153,0.963826
PF00614,2.351533,1.245536,0.106050,22,0.963837
PF00615,2.173295,0.843176,0.385138,169,0.934267
PF00620,1.677345,0.807774,0.638392,261,0.943906
PF00624,1.088281,0.388761,0.385790,507,0.964501
PF00628,1.245105,0.959465,0.972233,71,0.963786
PF00632,2.750707,0.893653,0.308133,512,0.925377
PF00635,1.121028,0.411077,0.456680,229,0.992449
PF00637,3.057480,1.253059,0.390711,145,0.921314
PF00638,0.764223,0.578432,0.824329,98,0.963013
PF00642,0.923169,0.771896,0.854000,69,0.952405
PF00646,1.661036,0.697576,0.509353,749,0.967123
PF00664,3.051460,1.384954,0.395902,109,0.955053
PF00665,1.813968,0.697427,0.454897,302,0.948753
PF00674,1.791417,0.922964,0.588364,75,0.944530
PF00682,1.569638,0.819087,0.719881,67,0.968397
PF00684,0.108950,0.366073,0.696414,4421,0.971285
PF00687,1.736306,0.545970,0.380928,6194,0.982735
PF00690,1.450706,0.629815,0.517313,323,0.979395
PF00702,2.382159,0.829233,0.432501,956,0.936865
PF00710,2.078355,0.795503,0.460890,510,0.952466
PF00735,1.554680,0.605408,0.430632,142,0.965084
PF00743,1.698339,0.726314,0.501407,63,0.919926
PF00753,2.278154,0.942764,0.536291,419,0.948459
PF00763,2.293972,0.725475,0.409563,4777,0.958928
PF00787,1.548891,0.631876,0.485743,273,0.985858
PF00788,1.518697,0.670989,0.480313,139,0.977364
PF00806,2.926752,2.043543,-0.054945,15,0.891707
PF00808,1.168481,0.659484,0.671076,64,0.962018
PF00854,3.244967,1.331444,0.189540,79,0.931002
PF00875,1.862704,0.744537,0.488046,369,0.947385
PF00899,1.968261,0.836423,0.543443,274,0.964938
PF00903,1.995994,0.868538,0.533401,183,0.952643
PF00916,3.221228,1.902631,0.506780,25,0.892780
PF00917,1.477306,0.624608,0.524414,124,0.973519
PF00928,1.994143,0.693789,0.368053,382,0.980659
PF00955,2.026473,0.950306,0.754811,373,0.915493
PF00956,0.937135,0.527043,0.647192,1849,0.969456
PF00961,2.796908,1.466716,0.380991,31,0.920513
PF00962,1.899739,0.805808,0.501899,100,0.960567
PF00970,1.658654,0.676127,0.436428,134,0.958644
PF00995,2.577010,0.732926,0.389241,8736,0.955316
PF01018,1.598764,0.437442,0.338565,4885,0.983735
PF01021,0.935680,0.381024,0.718165,14,0.960333
PF01040,2.684385,0.990187,0.642149,1705,0.871243
PF01053,2.316294,0.971919,0.397526,97,0.905753
PF01061,2.512119,1.505802,1.049159,109,0.912574
PF01068,1.880767,0.743807,0.423262,185,0.973636
PF01074,3.364008,1.324094,0.155302,109,0.938830
PF01086,2.122436,0.584939,0.231614,902,0.965624
PF01088,2.162630,0.741393,0.457334,1919,0.942311
PF01096,1.153624,0.424348,0.402564,218,0.981939
PF01118,2.186688,0.863798,0.497570,343,0.954759
PF01138,1.513030,0.615832,0.503148,695,0.975413
PF01142,1.772020,0.578610,0.377135,1129,0.982492
PF01156,2.959813,0.904527,0.419137,4149,0.926089
PF01163,1.941437,0.718138,0.347578,157,0.956622
PF01168,2.406486,1.028759,0.636872,769,0.933387
PF01172,1.600347,0.542302,0.392531,936,0.967578
PF01174,2.383144,1.222755,0.079743,19,0.958083
PF01202,1.929559,0.700548,0.412692,386,0.966918
PF01205,1.538558,0.750266,0.678481,1879,0.956172
PF01217,0.452446,0.501924,1.505830,19,0.954085
PF01226,1.665236,1.336078,1.312876,441,0.852312
PF01239,2.440079,1.137127,0.550231,329,0.940998
PF01253,0.975704,0.425522,0.485116,1563,0.990204
PF01263,2.051289,0.774343,0.455273,438,0.972895
PF01274,1.374392,0.607104,0.577314,75,0.969739
PF01284,1.744972,1.219940,1.207049,47,0.899568
PF01336,1.169247,0.577873,0.590243,1609,0.969849
PF01344,1.959450,0.864526,0.445910,188,0.975167
PF01348,2.349863,1.038705,0.023676,25,0.986856
PF01381,1.446173,0.651143,0.554181,297,0.979127
PF01417,1.814018,0.712871,0.443661,213,0.959243
PF01422,2.723730,1.385698,0.207311,35,0.966199
PF01423,1.247909,0.593060,0.600663,251,0.986676
PF01426,1.540590,0.612774,0.460399,151,0.940353
PF01434,1.715731,0.761775,0.552442,122,0.966346
PF01465,0.904350,0.753742,0.911067,161,0.927888
PF01479,0.635430,0.336049,0.628369,258,0.978316
PF01485,2.296261,0.882976,0.394396,215,0.968229
PF01488,2.368406,0.977700,0.350830,87,0.928346
PF01502,2.214905,0.663146,0.344394,1351,0.958379
PF01529,1.363130,0.992004,1.050047,94,0.916707
PF01535,2.442011,1.101357,0.389245,201,0.913101
PF01544,2.019728,0.914603,0.618119,229,0.940231
PF01569,1.704848,1.023907,0.902167,83,0.935465
PF01575,1.648931,0.741849,0.532558,87,0.963390
PF01585,1.001181,0.490678,0.609709,95,0.981836
PF01595,3.083100,1.181242,0.314162,205,0.899499
PF01612,1.388057,0.970124,1.030516,47,0.937673
PF01633,1.728975,0.740211,0.523808,256,0.972192
PF01644,2.383337,0.881555,0.412599,311,0.875659
PF01687,1.733887,0.711902,0.587145,3402,0.965213
PF01693,0.894784,0.519291,0.656911,484,0.977134
PF01699,2.708253,1.976442,1.139536,19,0.900712
PF01722,1.283015,0.644972,0.607512,1084,0.963438
PF01729,2.055968,0.878579,0.332268,66,0.946618
PF01746,2.049155,0.890483,0.374687,66,0.945672
PF01764,2.494559,1.008409,0.357220,125,0.949011
PF01779,0.297706,0.440436,0.855804,170,0.948807
PF01781,1.046710,0.257469,0.334399,362,0.956992
PF01794,3.591289,2.030230,0.503426,33,0.890085
PF01851,4.053222,2.804987,-0.686340,13,0.945297
PF01853,2.199506,0.732336,0.395141,665,0.939600
PF01873,1.372920,0.535694,0.489967,816,0.970684
PF01883,1.483472,0.697748,0.523430,100,0.954819
PF01910,1.325334,0.482725,0.418550,361,0.967929
PF01966,1.593756,0.838522,0.698803,360,0.968083
PF01968,2.088314,0.945517,0.579368,119,0.939148
PF01975,2.279650,0.695698,0.400385,3654,0.931690
PF02020,2.216493,0.633625,0.273472,1110,0.867425
PF02037,1.056483,0.558197,0.544940,294,0.973979
PF02046,0.857932,0.444678,0.661229,190,0.979700
PF02133,2.079051,1.309744,0.963993,30,0.863377
PF02137,1.558502,0.605749,0.506746,1019,0.979857
PF02146,1.763309,0.987552,0.661917,72,0.947219
PF02201,0.928446,0.460903,0.543293,1283,0.982585
PF02257,1.002767,0.432211,0.564551,239,0.971388
PF02260,1.085147,0.681083,0.709793,390,0.967806
PF02358,2.014378,0.791752,0.376175,128,0.982401
PF02386,2.319235,1.044111,0.441891,60,0.932853
PF02463,2.677797,0.879804,0.320811,563,0.965148
PF02518,1.545214,0.559912,0.468256,2617,0.980120
PF02535,2.438660,1.004188,0.468521,157,0.946116
PF02544,2.376937,1.243996,0.313942,17,0.953786
PF02574,1.825023,0.777101,0.661478,3287,0.945172
PF02582,2.272152,0.787405,0.454327,1081,0.950739
PF02585,1.973086,0.774263,0.438647,215,0.945629
PF02586,1.992416,0.618036,0.390764,3385,0.969192
PF02666,1.963974,0.743086,0.467093,562,0.970475
PF02668,1.983937,0.749348,0.489667,696,0.946816
PF02733,2.404554,0.803428,0.453365,2256,0.928857
PF02749,1.965763,0.780316,0.476995,224,0.969650
PF02765,1.327947,0.615313,0.579348,203,0.952079
PF02775,2.606400,1.063306,0.560610,525,0.925834
PF02776,1.621775,0.934368,0.817404,185,0.936736
PF02777,1.633124,0.816820,0.757933,1283,0.935633
PF02780,2.239529,0.874024,0.397136,241,0.956481
PF02782,2.417279,1.209396,0.640760,106,0.927203
PF02784,2.374582,1.152961,0.453183,39,0.915455
PF02786,2.808013,1.244074,0.134658,49,0.972140
PF02791,1.980075,1.608526,1.173511,56,0.902334
PF02799,2.258749,0.741765,0.389557,855,0.937055
PF02845,1.161910,0.919159,0.899043,122,0.945661
PF02854,1.987873,0.864103,0.491871,174,0.954519
PF02862,1.332533,0.637557,0.630763,1119,0.970819
PF02889,2.413174,0.841683,0.394969,534,0.937503
PF02891,1.193604,0.664870,0.737275,46,0.959826
PF02893,1.747463,0.934304,0.616975,61,0.966624
PF02906,2.158904,0.789327,0.467263,685,0.951135
PF02910,1.521543,0.447004,0.368521,3916,0.980811
PF02933,1.151730,0.461069,0.504641,232,0.974433
PF02935,0.550918,0.352215,0.769895,168,0.988845
PF02936,1.260023,0.508401,0.540866,409,0.957705
PF02940,0.880021,0.385463,0.574986,187,0.989334
PF02969,1.802248,0.817097,0.297918,22,0.970402
PF02985,2.561324,1.332063,0.570544,147,0.979325
PF02996,1.443827,0.896044,0.847686,71,0.945811
PF03009,2.393086,0.865318,0.302013,178,0.957208
PF03062,2.855387,1.352840,0.352197,43,0.932012
PF03070,2.290172,1.178476,0.531945,47,0.921772
PF03104,1.903971,0.821040,0.550363,195,0.962684
PF03127,1.477281,0.821983,0.729074,285,0.949188
PF03129,1.137457,0.532090,0.616102,283,0.977047
PF03130,1.755068,0.983857,0.549281,127,0.930912
PF03143,1.120935,0.498369,0.540453,231,0.964424
PF03144,1.314884,0.526777,0.474079,606,0.991510
PF03153,1.325667,0.561194,0.542927,895,0.992020
PF03161,2.490429,0.956545,0.342969,129,0.909644
PF03178,2.324369,0.850283,0.413587,411,0.943430
PF03198,1.810297,0.865255,0.559620,69,0.929747
PF03311,1.874248,1.542419,1.406078,35,0.921158
PF03358,1.922179,0.814318,0.587540,437,0.917955
PF03372,2.596369,0.798354,0.363330,1815,0.958031
PF03381,1.561844,0.654057,0.589407,2217,0.975046
PF03441,2.193750,0.930814,0.647331,1371,0.932549
PF03452,2.390258,0.799471,0.374127,847,0.958228
PF03464,1.541596,0.602161,0.518160,69,0.930615
PF03485,2.170263,0.890854,0.454809,207,0.948179
PF03647,2.082195,1.268910,0.962105,115,0.926445
PF03661,1.492013,0.962383,0.948926,67,0.876440
PF03732,2.028729,0.967080,0.559507,87,0.924932
PF03770,1.601077,0.596582,0.469459,695,0.977043
PF03803,1.768571,0.978431,0.688954,38,0.979045
PF03810,1.968188,1.008710,0.585128,69,0.933412
PF03828,2.161004,0.810911,0.314455,130,0.987152
PF03835,1.622940,0.597024,0.389018,171,0.974735
PF03856,2.212996,0.858657,0.538986,676,0.927981
PF03874,1.412671,0.629625,0.542969,213,0.976707
PF03900,1.202404,0.663455,0.828802,27,0.931095
PF03950,1.238017,0.495531,0.486725,771,0.987326
PF03982,2.762740,1.228843,0.026457,30,0.934796
PF03983,0.667928,0.265355,0.542010,185,0.972301
PF03998,0.870653,0.361746,0.508911,1711,0.981997
PF04003,2.079274,0.990461,0.711344,501,0.917513
PF04042,2.340597,1.025326,0.415608,93,0.934045
PF04050,0.598917,0.336429,0.552420,862,0.990824
PF04055,2.722862,0.825987,0.340832,1753,0.949789
PF04082,2.187117,0.854716,0.518641,283,0.935502
PF04084,2.212632,0.810183,0.489241,882,0.948167
PF04113,2.142708,0.741544,0.426916,617,0.971032
PF04117,2.148687,1.384096,1.126318,95,0.886795
PF04158,0.449135,0.246845,0.547475,646,0.987446
PF04178,2.172826,2.002706,1.652901,33,0.875630
PF04191,1.460233,1.055245,1.025592,84,0.920957
PF04193,2.465761,1.671211,1.064002,29,0.863308
PF04265,1.465848,0.661869,0.604730,429,0.970356
PF04318,1.135186,0.379977,0.870557,9,0.934495
PF04424,2.325326,1.185228,0.735852,79,0.923522
PF04427,2.158221,0.636502,0.350741,4233,0.972211
PF04428,1.058494,0.407298,0.496960,68,0.974925
PF04446,2.075844,0.789419,0.478456,523,0.922693
PF04488,1.305018,0.957892,1.035681,31,0.969014
PF04495,1.789062,0.865420,0.525467,67,0.951751
PF04568,1.789062,0.865420,0.525467,67,0.951751
PF04588,1.924997,1.006355,0.715735,149,0.916975
PF04614,1.773165,0.583609,0.382351,700,0.974792
PF04627,0.549818,0.296528,0.633624,240,0.971271
PF04652,1.389756,0.788881,0.718039,569,0.954152
PF04658,1.147002,0.498896,0.538134,831,0.983015
PF04760,1.108971,0.739170,0.775968,187,0.967673
PF04769,1.615265,0.946020,0.731272,27,0.894608
PF04815,3.003893,0.979428,0.313438,635,0.917752
PF04825,1.871811,0.687984,0.411633,391,0.939911
PF04889,0.320384,0.240619,0.565549,1302,0.990022
PF04898,2.806674,1.000446,0.535034,1837,0.910557
PF04900,1.397082,0.586664,0.503482,612,0.989104
PF04950,2.157543,0.623975,0.312894,2478,0.968821
PF05001,1.023963,0.716382,0.691929,75,0.972661
PF05002,0.575152,0.236545,0.542816,504,0.947164
PF05022,1.230439,0.514266,0.508727,307,0.970307
PF05032,0.660260,0.356032,0.622744,69,0.976932
PF05051,1.163040,0.438350,0.430364,257,0.984760
PF05057,2.253102,1.218545,0.515538,33,0.975754
PF05063,2.214972,1.228304,0.296418,15,0.953699
PF05132,0.706154,0.394977,0.620047,942,0.987753
PF05148,1.755893,0.954485,0.498195,28,0.920139
PF05158,1.469792,0.556782,0.491087,142,0.962278
PF05160,0.362582,0.283492,0.637178,340,0.988190
PF05172,0.968768,0.768340,1.123290,17,0.981897
PF05187,1.759643,0.493363,0.253348,170,0.964882
PF05188,0.762134,0.576358,1.534027,11,0.945765
PF05192,2.546794,0.754435,0.414960,7101,0.947813
PF05193,2.412770,0.907339,0.437895,405,0.953725
PF05433,1.639524,0.953861,0.716700,69,0.966495
PF05470,1.923138,0.666004,0.317812,129,0.980724
PF05648,1.215424,0.643739,0.746818,212,0.958923
PF05773,1.625998,0.814426,0.660484,289,0.963674
PF05797,1.298422,0.676484,0.966051,12,0.964427
PF05890,1.285478,0.506288,0.510456,1222,0.964610
PF05922,1.114379,0.626894,0.713220,200,0.986180
PF05983,2.176725,0.724716,0.385397,579,0.916443
PF06011,2.482782,0.902752,0.533861,1192,0.926209
PF06017,1.515745,0.567796,0.456836,1265,0.973916
PF06246,0.841735,0.368167,0.519594,1243,0.984765
PF06422,1.292427,0.752821,0.757988,885,0.942464
PF06427,2.631741,0.793533,0.394669,3764,0.942097
PF06464,1.355913,0.516256,0.432734,86,0.978520
PF06470,1.016383,0.612219,0.793457,233,0.978110
PF06687,2.624565,1.220184,0.615559,122,0.931742
PF06738,3.364353,1.279464,0.358832,269,0.865602
PF06745,2.234921,0.825338,0.318426,153,0.969039
PF07500,0.994970,0.488082,0.551020,1621,0.983738
PF07521,1.589411,0.729978,0.514897,191,0.952204
PF07524,0.561450,0.564505,1.310891,21,0.966959
PF07534,2.394276,0.957084,0.474145,194,0.931905
PF07542,1.193478,0.557635,0.602414,923,0.975471
PF07543,0.424426,0.384232,0.770672,188,0.969059
PF07557,1.430710,0.852983,0.670936,57,0.977445
PF07569,2.094551,0.873603,0.579401,327,0.935630
PF07647,1.120454,0.876276,0.936152,87,0.937617
PF07690,2.855535,1.247600,0.694214,295,0.856641
PF07691,1.399647,0.677521,0.649202,81,0.968303
PF07717,2.236944,0.796522,0.307222,183,0.978423
PF07719,1.588478,0.881263,0.723301,245,0.929375
PF07727,2.046356,0.845095,0.442682,170,0.936033
PF07728,2.758171,1.034914,0.148106,93,0.955020
PF07766,2.504877,0.840445,0.362863,1007,0.944558
PF07780,1.405317,0.469088,0.387358,1108,0.986465
PF07819,1.922693,1.134658,0.751102,49,0.930152
PF07915,1.281214,0.554732,0.567425,241,0.984627
PF07973,1.423806,0.687116,0.588627,302,0.975209
PF07992,1.917696,0.727204,0.470464,465,0.954126
PF07993,2.418653,0.897115,0.421515,375,0.944660
PF08022,1.965756,0.797114,0.322081,55,0.979534
PF08029,1.647964,0.595050,0.470100,839,0.971327
PF08068,0.874138,0.364261,0.438760,213,0.967087
PF08145,0.555549,0.300209,0.549509,1320,0.974222
PF08149,1.476892,0.656783,0.526981,314,0.953034
PF08153,0.180312,0.258582,0.672839,721,0.985304
PF08227,1.308638,1.163736,1.078540,31,0.920918
PF08242,2.574736,1.088412,0.419435,125,0.937236
PF08243,1.101111,0.439032,0.457455,257,0.972292
PF08271,0.726609,0.210941,0.537678,114,0.954418
PF08389,1.788583,1.061914,0.836941,88,0.963300
PF08393,3.058114,0.950553,0.443091,3785,0.913311
PF08426,1.188042,0.917982,1.099206,215,0.950618
PF08443,1.985642,0.874344,0.256704,19,0.940614
PF08511,2.165772,0.951757,0.548889,195,0.904549
PF08513,1.548010,1.135297,0.767385,35,0.914360
PF08537,0.583173,0.286660,0.667092,156,0.986863
PF08546,1.619674,0.787189,0.611093,259,0.956604
PF08567,1.889388,0.616418,0.301006,358,0.966600
PF08613,1.798090,0.846167,0.467369,21,0.910994
PF08616,1.362879,1.611967,1.744528,13,0.912695
PF08644,1.536910,0.532250,0.407881,527,0.972085
PF08692,0.416054,0.282771,0.833153,78,0.947544
PF08731,1.331389,0.412324,0.404294,34,0.978759
PF08801,2.496390,0.865921,0.370245,425,0.950356
PF08911,0.545763,0.282986,0.577799,316,0.992021
PF09138,1.771116,0.660047,0.301226,75,0.978714
PF09174,1.463322,0.678586,0.619931,437,0.975504
PF09324,3.326869,1.420056,0.230466,89,0.899163
PF09325,1.493548,0.886913,0.829405,67,0.954408
PF09359,1.797190,0.629665,0.380609,399,0.971409
PF09377,1.123199,0.487528,0.534124,1325,0.958525
PF09382,1.385156,0.586666,0.544664,404,0.983331
PF09402,1.897464,0.684063,0.471116,995,0.966698
PF09415,0.788983,0.468916,0.687697,238,0.974741
PF09435,1.759692,0.470706,0.275453,314,0.956203
PF09597,0.889516,0.502481,0.598590,261,0.982035
PF09731,1.823408,0.728828,0.463188,236,0.978315
PF09763,1.807429,0.746468,0.547920,286,0.953254
PF09770,2.123686,0.676121,0.363184,849,0.984281
PF09848,1.925257,0.706561,0.438546,376,0.969804
PF10193,1.277891,0.912336,0.870490,388,0.915033
PF10237,1.546035,0.740223,0.683014,457,0.952523
PF10247,0.803508,0.903776,1.302392,51,0.918736
PF10273,2.282404,0.918620,0.471975,237,0.900773
PF10295,0.089985,0.194482,0.808626,144,0.978671
PF10296,0.879871,0.402555,0.602306,370,0.983128
PF10304,1.424917,1.095124,0.825855,61,0.931552
PF10310,0.992898,0.504953,0.633919,986,0.980281
PF10334,1.866670,0.884457,0.601771,76,0.936827
PF10351,1.437787,0.595935,0.565569,2101,0.973717
PF10355,2.234678,1.029825,0.705143,263,0.908194
PF10359,1.853788,0.598486,0.425025,1255,0.971546
PF10363,2.028559,0.875566,0.541101,311,0.948599
PF10373,1.734839,0.747823,0.596340,271,0.944331
PF10375,1.032566,0.494558,0.473403,44,0.918026
PF10382,1.018166,0.665192,0.725007,265,0.963039
PF10396,2.573533,0.760082,0.341147,2559,0.940998
PF10403,0.557757,0.349247,0.633848,448,0.988413
PF10404,0.249076,0.251764,0.673447,464,0.980266
PF10419,1.097298,0.752497,0.875525,82,0.964438
PF10448,2.066482,0.771141,0.232956,78,0.968910
PF10466,1.011201,0.386711,0.426340,20,0.968328
PF10483,1.964321,0.657993,0.387172,844,0.971041
PF10487,2.413599,1.018323,0.572040,315,0.930570
PF10510,2.227807,0.920558,0.590519,768,0.949960
PF10521,2.086437,0.748325,0.454221,367,0.939714
PF10587,0.491419,0.382207,0.587634,193,0.951561
PF10780,0.863385,0.375372,0.484305,310,0.978142
PF11001,0.607824,0.355512,0.668765,430,0.985798
PF11051,1.998650,0.875984,0.601399,270,0.942543
PF11326,0.732444,0.426387,0.671574,360,0.960562
PF11403,1.145331,0.804709,1.149488,3,1.000000
PF11503,0.622036,0.449729,0.913654,39,0.985215
PF11615,2.079181,-0.000000,0.000000,3,NaN
PF11640,1.906336,0.676812,0.421441,429,0.949294
PF11654,1.574973,0.647081,0.356835,67,0.956007
PF11718,0.832875,0.464042,0.648963,1204,0.988642
PF11767,1.645663,0.714319,0.499983,131,0.957541
PF11861,0.993203,0.413154,0.504715,1210,0.985980
PF11865,2.128377,0.900139,0.558905,311,0.920036
PF11942,0.199170,0.312070,0.730179,474,0.983099
PF11987,1.538782,0.701465,0.625780,1572,0.958570
PF12239,1.467866,0.656679,0.587436,551,0.955086
PF12328,0.802037,0.418835,0.615933,232,0.971912
PF12352,1.351846,0.937045,0.832497,29,0.955484
PF12384,1.182522,0.601734,0.529242,19,0.973808
PF12537,1.496948,0.863964,0.798664,111,0.985662
PF12678,1.545518,0.756262,0.631871,75,0.952968
PF12689,1.588613,0.672593,0.470004,172,0.968014
PF12710,2.276701,0.838417,0.422282,366,0.928795
PF12751,0.784022,0.421887,0.648941,456,0.969964
PF12761,0.845362,0.309010,0.500519,395,0.966177
PF12829,0.814147,0.439594,0.646310,226,0.976625
PF12874,0.822542,0.547617,0.661246,400,0.980623
PF12894,0.777533,0.558039,0.915686,61,0.984472
PF13087,2.268086,0.751223,0.335556,611,0.946273
PF13207,1.910306,0.668599,0.411620,1527,0.955441
PF13373,0.632727,0.521485,0.902443,185,0.942338
PF13401,2.676778,1.009660,0.294346,181,0.937795
PF13414,2.406464,1.484903,0.498712,17,0.885531
PF13415,1.321606,0.700401,0.700695,77,0.961118
PF13417,1.523454,0.651427,0.522316,112,0.961311
PF13422,0.624545,0.235533,0.636536,140,0.979219
PF13476,2.234052,0.740751,0.402930,1190,0.956848
PF13499,1.684991,0.771092,0.536197,173,0.963873
PF13513,2.023305,1.107180,0.666138,103,0.949658
PF13537,2.438702,1.000849,0.570340,387,0.922153
PF13602,2.478562,0.950794,0.424979,335,0.943499
PF13603,1.284998,0.673766,0.689449,349,0.970549
PF13631,1.981686,1.089972,0.776943,51,0.910027
PF13634,1.676744,0.759411,0.609041,687,0.985900
PF13639,1.103237,0.870992,0.952157,141,0.957531
PF13691,1.575589,0.729591,0.529089,63,0.931499
PF13725,1.449242,0.728563,0.705755,507,0.959771
PF13793,1.902360,0.611962,0.388906,1199,0.957169
PF13805,1.762519,0.622486,0.381979,239,0.929408
PF13854,2.181718,1.051431,0.413676,65,0.912245
PF13855,1.533542,1.227089,1.110066,33,0.968317
PF13893,1.734261,0.977304,0.678481,16,0.950632
PF13894,1.277314,0.759497,0.640017,311,0.976274
PF13912,0.214422,0.268240,0.911435,51,0.958546
PF13945,0.726672,0.299423,0.724147,65,0.980199
PF13959,1.127983,0.665873,0.744452,623,0.943991
PF13964,1.888880,0.988129,0.675735,80,0.974057
PF14288,1.137768,0.551665,0.672688,223,0.952427
PF14324,1.416535,0.533178,0.522389,599,0.973600
PF14492,1.486568,0.534059,0.377214,297,0.970999
PF14551,1.692366,0.744836,0.589342,588,0.953100
